Movie Title,Imdb Rating
The American,6.3
The Gift,6.7
The Lover,6.8
The Reader,7.6
The Whole Truth,6.2
Working Girl,6.8
8 1/2,None
Ad Astra,6.5
An Education,7.3
Basic Instinct,7.0
Because I Said So,5.6
Dreamgirls,6.6
Fifty Shades of Black,3.5
French Kiss,6.6
From Russia with Love,7.3
Irrational Man,6.6
Keeping Up with the Joneses,5.9
Mission: Impossible III,6.9
Star Wars,8.6
Ted 2,6.3
The American President,6.8
The Beach,6.6
The Crush,5.8
The Favourite,7.5
The Legend of Tarzan,6.2
We Bought a Zoo,7.1
Widows,6.8
3000 Miles to Graceland,5.9
A Star Is Born,7.5
Aloha,5.4
Anna Karenina,6.6
Bohemian Rhapsody,7.9
Bridge of Spies,7.6
Elf,7.1
Emma.,6.7
Feeling Minnesota,5.4
How Stella Got Her Groove Back,5.7
John Q.,7.1
Joy,6.6
Layer Cake,7.3
Nine Lives,5.3
Palo Alto,6.2
Red Notice,6.3
Roman Holiday,8.0
Schindler's List,9.0
The Adjustment Bureau,7.0
The Devil Wears Prada,6.9
The Heartbreak Kid,5.8
The Illusionist,7.5
The Polka King,6.0
The Sixth Sense,8.2
When Harry Met Sally...,7.7
Wonder Boys,7.2
X-Men: First Class,7.7
Yogi Bear,4.6
You Only Live Twice,6.8
All About the Benjamins,5.8
Allied,7.1
Bad Santa,7.1
Book Club,6.1
Casino Royale,8.0
Delivery Man,6.3
Down and Out in Beverly Hills,6.2
Gone with the Wind,8.2
I Think I Love My Wife,5.5
In the Heights,7.3
Inferno,6.2
Jack and Jill,3.3
Jane Eyre,7.3
La decima vittima,None
Last Night,6.5
Licorice Pizza,7.1
Lo Sceicco Bianco,None
Malcolm & Marie,6.6
Mr. & Mrs. Smith,6.5
National Treasure,6.9
Natural Born Killers,7.2
Stella Dallas,7.4
Taken,7.8
Ted,6.9
The Astronaut's Wife,5.4
The Greatest Showman,7.5
The Proposal,6.7
The Spy Who Dumped Me,6.0
The Wrestler,7.9
Tootsie,7.4
Up in the Air,7.4
World War Z,7.0
A Good Year,6.9
Annie Hall,8.0
Barfly,7.1
Black Panther,7.3
Blow,7.5
Boogie Nights,7.9
Emma,6.6
Henry’s Crime,5.9
I Could Never Be Your Woman,6.0
Indiana Jones and the Temple of Doom,7.5
Larry Crowne,6.1
Message in a Bottle,6.2
Monster's Ball,7.1
Old School,7.0
Passengers,7.0
Pride & Prejudice,7.8
Save the Last Dance,6.2
Seven Pounds,7.6
Smart People,6.1
Solo: A Star Wars Story,6.9
Stoker,6.7
Sweet November,6.7
The Decoy Bride,6.1
The Devil’s Advocate,7.5
The Fast and the Furious,6.8
The Good Girl,6.4
The Great Gatsby,7.2
The Invention of Lying,6.3
The Light Between Oceans,7.2
The Thomas Crown Affair,6.9
Trainwreck,6.2
While You Were Sleeping,6.8
Wimbledon,6.3
Win a Date with Tad Hamilton!,5.6
Year One,4.9
27 Dresses,6.1
Ant-Man,7.3
Barbie,7.2
Bedtime Stories,6.0
Big Daddy,6.4
Braveheart,8.3
Daddy's Home,6.2
Death to Smoochy,6.3
Diamonds Are Forever,6.5
Django Unchained,8.5
EDtv,6.1
Ever After,7.1
Forrest Gump,8.8
Ghost,7.1
Ghost Rider,5.3
Girl with a Pearl Earring,6.9
High School High,5.5
How to Lose a Guy in 10 Days,6.4
Little Black Book,5.3
Made of Honor,5.8
Man of Steel,7.1
Nightmare Alley,7.0
Prima della rivoluzione,None
Pulp Fiction,8.9
